"","Variable","Chromosome","Type","Lower_bound","Upper_bound","Value"
"1","10^:prob_CN_missegregation",NA,"CNA_probability","-5","-3",-3.69897000433602
"2","1p","1","Arm_selection_rate","0.833333333333333","1.2",0.949575875736256
"3","2p","2","Arm_selection_rate","0.833333333333333","1.2",0.964342052401732
"4","3p","3","Arm_selection_rate","0.833333333333333","1.2",0.967484486050762
"5","4p","4","Arm_selection_rate","0.833333333333333","1.2",1.11716006100178
"6","5p","5","Arm_selection_rate","0.833333333333333","1.2",0.961498808481501
"7","6p","6","Arm_selection_rate","0.833333333333333","1.2",1.12125365952961
"8","7p","7","Arm_selection_rate","0.833333333333333","1.2",1.19778185957111
"9","8p","8","Arm_selection_rate","0.833333333333333","1.2",0.914696294146622
"10","9p","9","Arm_selection_rate","0.833333333333333","1.2",0.957560644636561
"11","10p","10","Arm_selection_rate","0.833333333333333","1.2",1.10149564063177
"12","11p","11","Arm_selection_rate","0.833333333333333","1.2",0.947463204314455
"13","12p","12","Arm_selection_rate","0.833333333333333","1.2",0.986317621302511
"14","13p","13","Arm_selection_rate","0.833333333333333","1.2",1.1420644893311
"15","14p","14","Arm_selection_rate","0.833333333333333","1.2",0.95164977157229
"16","15p","15","Arm_selection_rate","0.833333333333333","1.2",1.12042280882597
"17","16p","16","Arm_selection_rate","0.833333333333333","1.2",1.13662201133557
"18","17p","17","Arm_selection_rate","0.833333333333333","1.2",0.96992254038622
"19","18p","18","Arm_selection_rate","0.833333333333333","1.2",1.16457926295698
"20","19p","19","Arm_selection_rate","0.833333333333333","1.2",0.977110104725914
"21","20p","20","Arm_selection_rate","0.833333333333333","1.2",1.17550427773967
"22","21p","21","Arm_selection_rate","0.833333333333333","1.2",1.15722298542969
"23","22p","22","Arm_selection_rate","0.833333333333333","1.2",0.942635566572404
